PLAYER_ID,n,compliance_n,compliance_rate
s31p077t3,14,3,0.21428571428571427
s31p166t3,13,11,0.8461538461538461
s31p190t3,20,8,0.4
s31p274t3,18,6,0.3333333333333333
s31p315t3,6,4,0.6666666666666666
s31p348t3,16,9,0.5625
s31p359t3,16,7,0.4375
s31p396t3,13,4,0.3076923076923077
s31p424t3,22,10,0.45454545454545453
s31p441t3,14,5,0.35714285714285715
s31p598t3,14,9,0.6428571428571429
s31p633t3,14,9,0.6428571428571429
s31p666t3,16,13,0.8125
s31p695t3,12,9,0.75
s31p822t3,12,8,0.6666666666666666
s31p982t3,15,10,0.6666666666666666
